,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,95,25,3,3,18,-2210,0,0,484,10.014000000000001,
0,0,95,25,3,2,18,-2202,0,0,485,10.057,
0,0,95,25,2,2,117,-2169,0,0,486,10.099000000000002,
0,0,95,24,3,2,108,-2010,0,0,487,10.15,
0,0,95,24,4,2,124,-2046,0,0,488,10.206999999999999,
0,0,94,24,4,2,117,-2063,0,0,489,10.253000000000002,
0,0,94,24,4,3,90,-2072,0,0,490,10.295,
0,0,94,24,4,3,117,-2182,0,0,491,10.344,
0,0,93,24,4,4,14,-2075,0,0,492,10.389999999999999,
0,0,93,24,4,3,146,-2100,0,0,493,10.433000000000002,
0,0,92,25,4,3,108,-1991,0,0,494,10.475,
0,0,92,25,5,3,104,-2181,0,0,495,10.522,
0,0,91,25,5,3,0,-2027,0,0,496,10.564000000000002,
0,0,91,25,6,4,143,-2038,0,0,497,10.607000000000001,
0,0,90,25,6,4,143,-2019,0,0,498,10.651000000000002,
0,0,89,25,5,4,153,-1883,0,0,499,10.693,
0,0,89,25,6,2,171,-2175,0,0,500,10.747000000000002,
0,0,88,24,6,2,169,-2007,0,0,501,10.790000000000001,
0,0,87,24,5,3,162,-2032,0,0,502,10.833,
0,0,86,24,5,4,14,-1966,0,0,503,10.877,
0,0,86,24,6,3,11,-2009,0,0,504,10.967,
0,0,85,24,6,3,162,-2021,0,0,505,11.011000000000001,
0,0,84,24,6,4,0,-1946,0,0,506,11.054,
0,0,83,24,7,3,171,-1972,0,0,507,11.101,
0,0,82,24,5,4,117,-2006,0,0,508,11.152,
0,0,81,24,5,4,117,-2013,0,0,509,11.211,
0,0,81,24,6,3,127,-2165,0,0,510,11.257,
0,0,81,23,6,3,0,-2081,0,0,511,11.299999999999999,
0,0,80,23,5,4,11,-2113,0,0,512,11.349000000000002,
0,0,80,23,6,4,11,-2115,0,0,513,11.392000000000001,
0,0,80,22,6,2,171,-2064,0,0,514,11.434,
0,0,80,22,5,5,108,-2200,0,0,515,11.477000000000002,
0,0,80,22,7,4,9,-2139,0,0,516,11.519,
0,0,79,23,6,3,171,-2006,0,0,517,11.561000000000002,
0,0,78,23,6,4,0,-1920,0,0,518,11.604000000000001,
0,0,77,23,6,4,11,-2123,0,0,519,11.65,
0,0,76,23,5,5,108,-1887,0,0,520,11.693,
0,0,75,24,6,4,135,-1997,0,0,521,11.746,
0,0,75,24,6,4,0,-2025,0,0,522,11.789,
0,0,74,24,5,4,117,-2091,0,0,523,11.831999999999999,
0,0,74,23,5,4,11,-2028,0,0,524,11.874,
0,0,74,23,6,4,135,-2172,0,0,525,11.961,
0,0,75,23,5,4,117,-2165,0,0,526,12.004,
0,0,75,23,6,4,0,-2063,0,0,527,12.046999999999999,
0,0,76,23,6,4,0,-2061,0,0,528,12.089,
0,0,77,23,6,3,171,-1922,0,0,529,12.147,
0,0,78,23,6,4,27,-2031,0,0,530,12.218000000000002,
0,0,78,23,5,3,162,-2060,0,0,531,12.286,
0,0,79,23,6,4,11,-2086,0,0,532,12.344,
0,0,79,23,5,3,169,-2095,0,0,533,12.389000000000001,
0,0,80,23,6,4,158,-2070,0,0,534,12.434,
0,0,80,23,6,4,153,-2230,0,0,535,12.488999999999999,
0,0,80,23,6,3,0,-2127,0,0,536,12.543999999999999,
0,0,80,23,6,4,169,-2085,0,0,537,12.599000000000002,
0,0,81,23,6,3,22,-1998,0,0,538,12.653,
0,0,82,23,6,3,22,-2122,0,0,539,12.709000000000001,
0,0,82,23,6,4,0,-2140,0,0,540,12.767999999999999,
0,0,82,23,6,4,63,-2050,0,0,541,12.823000000000002,
0,0,82,22,6,3,22,-1898,0,0,542,12.878000000000002,
0,0,81,20,6,3,22,-1895,0,0,543,12.993,
0,0,81,20,6,3,22,-1958,0,0,544,13.057,
0,0,80,19,5,4,14,-1894,0,0,545,13.116999999999999,
0,0,79,18,5,3,27,-2151,0,0,546,13.179,
0,0,79,19,6,3,53,-2112,0,0,547,13.241999999999999,
0,0,79,19,5,4,63,-2110,0,0,548,13.289,
0,0,78,19,6,3,0,-2025,0,0,549,13.342,
0,0,77,19,6,3,0,-1959,0,0,550,13.401000000000002,
0,0,76,18,6,3,0,-2006,0,0,551,13.471000000000002,
0,0,75,18,6,3,0,-1920,0,0,552,13.517999999999999,
0,0,74,18,6,3,0,-1950,0,0,553,13.565,
0,0,73,18,6,3,0,-1954,0,0,554,13.612,
0,0,72,18,6,4,37,-1894,0,0,555,13.662,
0,0,70,18,7,3,171,-1899,0,0,556,13.712000000000002,
0,0,69,19,6,3,0,-1861,0,0,557,13.763,
0,0,67,19,6,3,169,-1873,0,0,558,13.811000000000002,
0,0,65,19,7,5,166,-1720,0,0,559,13.859,
0,0,64,20,7,3,172,-1890,0,0,560,13.958,
0,0,63,20,7,4,171,-1913,0,0,561,14.008000000000001,
0,0,61,21,7,5,135,-1833,0,0,562,14.061000000000002,
0,0,60,21,6,5,104,-1895,0,0,563,14.107000000000001,
0,0,58,23,8,4,171,-1782,0,0,564,14.164,
0,0,57,24,7,4,127,-1898,0,0,565,14.238999999999999,
0,0,57,23,8,4,171,-2133,0,0,566,14.302999999999999,
0,0,57,23,7,4,0,-2143,0,0,567,14.372000000000002,
0,0,58,23,7,4,135,-2134,0,0,568,14.427999999999999,
0,0,58,23,7,4,143,-2153,0,0,569,14.475,
0,0,58,22,6,4,127,-2165,0,0,570,14.520999999999999,
0,0,59,22,6,5,18,-2087,0,0,571,14.566,
0,0,59,22,6,4,158,-2209,0,0,572,14.613000000000001,
0,0,59,22,7,5,166,-2163,0,0,573,14.664,
0,0,59,23,6,5,45,-2152,0,0,574,14.725,
0,0,59,23,7,4,0,-2166,0,0,575,14.772,
0,0,60,23,7,4,53,-2069,0,0,576,14.821,
0,0,60,24,7,4,45,-1953,0,0,577,14.866000000000001,
0,0,61,24,7,3,59,-2111,0,0,578,14.961,
0,0,61,23,6,5,76,-2175,0,0,579,15.011000000000001,
0,0,61,23,7,3,31,-2146,0,0,580,15.058000000000002,
0,0,61,22,6,4,72,-2027,0,0,581,15.104999999999999,
0,0,60,22,6,4,0,-1980,0,0,582,15.162,
0,0,60,21,6,4,0,-2092,0,0,583,15.229999999999999,
0,0,59,21,6,4,0,-1957,0,0,584,15.279000000000002,
0,0,58,20,6,5,0,-1872,0,0,585,15.328999999999999,
0,0,57,19,6,4,63,-1936,0,0,586,15.384000000000002,
0,0,57,19,6,3,22,-2094,0,0,587,15.433000000000002,
0,0,56,18,6,4,0,-1972,0,0,588,15.482000000000001,
0,0,55,18,5,4,63,-2019,0,0,589,15.53,
0,0,55,19,6,3,22,-2092,0,0,590,15.578000000000001,
0,0,55,19,6,5,45,-2116,0,0,591,15.633000000000001,
