,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,56,26,7,3,171,-1747,0,0,831,26.756,
0,0,55,26,8,4,169,-1812,0,0,832,26.818000000000005,
0,0,52,25,6,5,166,-1724,0,0,833,26.881,
0,0,50,24,7,4,39,-1680,0,0,834,26.959000000000003,
0,0,46,22,7,5,68,-1549,0,0,835,27.031,
0,0,45,22,8,4,0,-1836,0,0,836,27.128,
0,0,44,22,8,5,169,-1895,0,0,837,27.219,
0,0,41,23,8,4,172,-1668,0,0,838,27.305,
0,0,38,24,7,5,11,-1650,0,0,839,27.392000000000003,
0,0,34,25,6,5,135,-1564,0,0,840,27.467,
0,0,34,25,7,4,135,-2044,0,0,841,27.602000000000004,
0,0,34,26,6,4,112,-2141,0,0,842,27.675000000000004,
0,0,34,26,7,4,149,-2116,0,0,843,27.743000000000002,
0,0,34,26,7,3,141,-2168,0,0,844,27.808,
0,0,34,26,7,5,18,-2008,0,0,845,27.884,
0,0,34,25,6,4,158,-2106,0,0,846,27.976,
0,0,33,25,6,3,169,-2181,0,0,847,28.036,
0,0,34,25,7,5,0,-2162,0,0,848,28.104,
0,0,34,24,7,4,22,-1980,0,0,849,28.188000000000002,
0,0,33,23,7,4,31,-1993,0,0,850,28.261000000000003,
0,0,34,23,7,5,27,-1972,0,0,851,28.345,
0,0,35,23,8,5,104,-2015,0,0,852,28.429000000000002,
0,0,35,23,7,4,45,-2095,0,0,853,28.549,
0,0,34,23,8,4,45,-2147,0,0,854,28.618000000000002,
0,0,34,23,8,4,81,-2165,0,0,855,28.686,
0,0,34,24,7,4,31,-2027,0,0,856,28.744,
0,0,34,24,7,3,59,-2195,0,0,857,28.802,
0,0,34,25,7,4,53,-2156,0,0,858,28.861000000000004,
0,0,34,25,6,3,169,-2016,0,0,859,28.919000000000004,
0,0,34,26,6,4,11,-1963,0,0,860,28.993000000000002,
0,0,34,26,7,4,127,-2092,0,0,861,29.057000000000002,
0,0,34,27,6,3,112,-2153,0,0,862,29.139000000000003,
0,0,34,26,7,4,149,-2083,0,0,863,29.212000000000003,
0,0,34,26,6,4,90,-2172,0,0,864,29.309000000000005,
0,0,34,25,7,3,99,-1987,0,0,865,29.384,
0,0,35,26,7,3,31,-1907,0,0,866,29.450000000000003,
0,0,35,26,7,3,31,-2228,0,0,867,29.558,
0,0,36,26,8,4,171,-2012,0,0,868,29.622,
0,0,38,27,7,4,0,-1748,0,0,869,29.686,
0,0,39,27,8,3,23,-1933,0,0,870,29.752000000000002,
0,0,41,27,7,4,53,-1848,0,0,871,29.818000000000005,
0,0,42,27,8,4,9,-1953,0,0,872,29.883000000000003,
0,0,44,27,7,4,53,-1788,0,0,873,29.950000000000003,
0,0,44,27,7,4,45,-2192,0,0,874,30.015,
0,0,46,27,7,3,0,-1786,0,0,875,30.075000000000003,
0,0,48,27,8,4,171,-1689,0,0,876,30.161,
0,0,51,27,7,4,45,-1649,0,0,877,30.243000000000002,
0,0,54,27,7,4,0,-1723,0,0,878,30.326999999999998,
0,0,55,27,6,4,169,-1846,0,0,879,30.405,
0,0,58,26,7,4,0,-1666,0,0,880,30.467,
0,0,58,26,7,4,0,-1967,0,0,881,30.587000000000003,
0,0,57,25,7,4,11,-2069,0,0,882,30.658,
